_id: 587e4a2f93c385b3a2e34ce1
SMARTS: [C:1]-[CH;+0:2](-[CH2;+0:3]-[C:4]=[O:5])-[N;H0;+0:7](-[C:6])-[C:8]>>[C:1]-[CH;+0:2]=[CH;+0:3]-[C:4]=[O:5].[C:6]-[NH;+0:7]-[C:8]
number of examples (rxd ids): 101
number of examples (rx ids): 60
EFG Index	Name	SMARTS	In reduced set?	Number of products with group	Fraction of products with group	Fraction of products (in general) with group	Total number of products (in general) tested	Z-score
61	Alkyl bromides	[CX4]Br AND NOT [$([CX4](Br)[CX3]=[CX3]),$([CX4](Br)[CX2]#[CX2]),$([CX4](Br)a)]	True	0.0	0.0	0.0166317829457	516000.0	1.00736421387
62	Alkyl iodides	[CX4]I AND NOT [$([CX4](I)[CX3]=[CX3]),$([CX4](I)[CX2]#[CX2]),$([CX4](I)a)]	True	0.0	0.0	0.00535271317829	516000.0	0.568234927032
63	Aryl fluorides	aF	True	0.0	0.0	0.0180562015504	516000.0	1.05037660957
64	Aryl chlorides	aCl	True	0.0	0.0	0.0649224806202	516000.0	2.04102167587
65	Aryl bromides	aBr	True	0.0	0.0	0.0264282945736	516000.0	1.27621997405
66	Aryl iodides	aI	True	0.0	0.0	0.00612015503876	516000.0	0.607840649073
67	Organometallic compounds	[!#1!#2!#5!#6!#7!#8!#9!#10!#14!#15!#16!#17!#18!#32!#33!#34!#35!#36!#51!#52!#53!#54!#84!#85!#86]~[#6]	True	0.0	0.0	0.00106589147287	516000.0	0.253025138364
68	Organolithium compounds	[Li][#6]	True	0.0	0.0	0.000244186046512	516000.0	0.121056767088
69	Organomagnesium compounds	[Mg][#6]	True	0.0	0.0	0.000184108527132	516000.0	0.105112061738
70	Carboxylic acid derivatives	[#1,#6][CX3](=[OX1])[!#1!#6!$([SH1,SX2])]	True	37.0	0.616666666667	0.407932170543	516000.0	-3.28973471422
71	Carboxylic acids	[#1,#6][CX3](=[OX1])[OX2H1]	True	0.0	0.0	0.0524651162791	516000.0	1.82268635911
72	Carboxylic acid salts	[#1,#6][CX3](=[OX1])[OX1-]	True	0.0	0.0	0.00130620155039	516000.0	0.280133155356
73	Carboxylic acid esters	[#1,#6][CX3](=[OX1])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]	True	37.0	0.616666666667	0.235234496124	516000.0	-6.96505748509
74	Lactones	[#6R][CX3R](=[OX1])[OX2R][#6R&!$([CX3R]=[OX1,SX1,NX2])]	True	12.0	0.2	0.0245794573643	516000.0	-8.77148580891
75	Carboxylic acid amides	[#1,#6][CX3](=[OX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX1])])[#1,#6&!$([CX3]=[OX1,SX1,NX1])]	True	0.0	0.0	0.042738372093	516000.0	1.63669652644
76	Carboxylic acid primary amides	[#1,#6][CX3](=[OX1])[NX3H2]	True	0.0	0.0	0.0089496124031	516000.0	0.736087839111
77	Carboxylic acid secondary amides	[#1,#6][CX3](=[OX1])[NX3H1][#6&!$([CX3]=[OX1,SX1,NX2])]	True	0.0	0.0	0.0789360465116	516000.0	2.26759898528
78	Carboxylic acid tertiary amides	[#1,#6][CX3](=[OX1])[NX3]([#6&!$([CX3]=[OX1,SX1,NX2])])[#6&!$([CX3]=[OX1,SX1,NX2])]	True	0.0	0.0	0.0412810077519	516000.0	1.6073261783
79	Lactams	[#6R][CX3R](=[OX1])[NX3R]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#6R&!$([CX3R]=[OX1,SX1,NX2])]	True	0.0	0.0	0.0196957364341	516000.0	1.09794550281
80	Carboxylic acid hydrazides	[$([#6,#1][#6X3](=[OX1])[#7X3&!$([#7X3]([*]=[OX1,SX1])[#7X3]([*]=[OX1,SX1]))][#7X3]),$(C1(=O)[NX3][NX3]C(=O)cc1)]	True	0.0	0.0	0.00643217054264	516000.0	0.623240226283
81	Carboxylic acid azides	[#1,#6][CX3](=[OX1])[$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N),$([NX2-]-[NX2+]#[NX1])]	True	0.0	0.0	0.000255813953488	516000.0	0.123906271851
82	Hydroxamic acids	[#1,#6][CX3](=[OX1])[NX3][OH1]	True	0.0	0.0	0.000916666666667	516000.0	0.234628338126
83	Carboxylic acid amidines	[#1,#6][NX2]=[CX3]([#1,#6])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,N])]	True	0.0	0.0	0.00194379844961	516000.0	0.341840640037
84	Carboxylic acid amidrazones	[#1,#6][NX2]=[CX3]([#1,#6])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]	True	0.0	0.0	5.81395348837e-06	516000.0	0.018677238479
85	Nitriles	[#1,#6&!$([CX3]=[OX1,SX1])][CX2]#[NX1]	True	0.0	0.0	0.0469244186047	516000.0	1.71873990766
86	Acyl halides	[#1,#6][CX3](=[OX1])[F,Cl,Br,I]	True	0.0	0.0	0.00385465116279	516000.0	0.481844285187
87	Acyl fluorides	[#1,#6][CX3](=[OX1])F	True	0.0	0.0	0.000587209302326	516000.0	0.187758506526
88	Acyl chlorides	[#1,#6][CX3](=[OX1])Cl	True	0.0	0.0	0.00313372093023	516000.0	0.434297422881
89	Acyl bromides	[#1,#6][CX3](=[OX1])Br	True	0.0	0.0	7.55813953488e-05	516000.0	0.0673440900141
90	Acyl iodides	[#1,#6][CX3](=[OX1])I	True	0.0	0.0	6.2015503876e-05	516000.0	0.0610013194562
91	Acyl cyanides	[#1,#6][CX3](=[OX1])[CX2]#[NX1]	True	0.0	0.0	0.000156976744186	516000.0	0.0970571131511
92	Imido esters	[#1,#6][CX3](=[NX2][#1,#6])[OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])]	True	0.0	0.0	0.00247286821705	516000.0	0.385668075348
93	Imidoyl halides	[#1,#6][CX3](=[NX2][#1,#6])[F,Cl,Br,I]	True	0.0	0.0	0.000445736434109	516000.0	0.163572952634
94	Thiocarboxylic acid derivatives	[$([#1,#6][CX3](=[SX1])[!#1!#6]),$([#1,#6][CX3](=[OX1])[SX2])]	True	2.0	0.0333333333333	0.010007751938	516000.0	-1.81484880743
95	Thiocarboxylic acids	[$([#1,#6][CX3](=[SX1])[OH1,SH1]),$([#1,#6][CX3](=[OX1])[SH1])]	True	0.0	0.0	0.000141472868217	516000.0	0.0921388788603
96	Thiocarboxylic acid esters	[$([#1,#6][CX3](=[SX1])[OX2,SX2][#6&!$([CX3]=[OX1,SX1,NX2])]),$([#1,#6][CX3](=[OX1])[SX2][#6&!$([CX3]=[OX1,SX1,NX2])])]	True	0.0	0.0	0.00488178294574	516000.0	0.542534544421
97	Thiolactones	[$([#6R][CX3R](=[SX1])[OX2R,SX2R][#6R&!$([CX3R]=[OX1,SX1,NX2])]),$([#6R][CX3R](=[OX1])[SX2R][#6R&!$([CX3R]=[OX1,SX1,NX2])])]	True	0.0	0.0	0.00087984496124	516000.0	0.229863395948
98	Thiocarboxylic acid amides	[#1,#6][CX3](=[SX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX1])])[#1,#6&!$([CX3]=[OX1,SX1,NX1])]	True	2.0	0.0333333333333	0.00128294573643	516000.0	-6.92515182974
99	Thiolactams	[#6R][CX3R](=[SX1])[NX3R]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#6R&!$([CX3R]=[OX1,SX1,NX2])]	True	2.0	0.0333333333333	0.000333333333333	516000.0	-13.9223651364
100	Imidothioesters	[#1,#6][CX3](=[NX2][#1,#6])[SX2][C&!$([CX3]=[OX1,SX1,NX2])]	True	0.0	0.0	0.000850775193798	516000.0	0.226030910841
101	Oxohetarenes	[$(c(=[OX1])[$(n[#1,#6]),o,s]),$(c(=[OX1])a[$(n[#1,#6]),o,s]),$(c(=[OX1])aa[$(n[#1,#6]),o,s]),$(c(=[OX1])aaa[$(n[#1,#6]),o,s])]	True	0.0	0.0	0.0656007751938	516000.0	2.05240046169
102	Thioxohetarenes	[$(c(=[SX1])[$(n[#1,#6]),o,s]),$(c(=[SX1])a[$(n[#1,#6]),o,s]),$(c(=[SX1])aa[$(n[#1,#6]),o,s]),$(c(=[SX1])aaa[$(n[#1,#6]),o,s])]	True	0.0	0.0	0.00563759689922	516000.0	0.583243817982
103	Iminohetarenes	[$(c(=N)[$(n[#1,#6]),o,s]),$(c(=N)a[$(n[#1,#6]),o,s]),$(c(=N)aa[$(n[#1,#6]),o,s]),$(c(=N)aaa[$(n[#1,#6]),o,s])]	True	0.0	0.0	0.00360658914729	516000.0	0.466024174807
104	Orthocarboxylic acid derivatives	[CX4&!$([CX4]([F,Cl,Br,I])([F,Cl,Br,I])([F,Cl,Br,I]))]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])([!#1!#6])([!#1!#6])[!#1!#6]	True	0.0	0.0	0.00622674418605	516000.0	0.613143779362
105	Carboxylic acid orthoesters	[#1,#6][CX4]([OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])])([OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])])[OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])]	True	0.0	0.0	0.000858527131783	516000.0	0.22705921009
106	Carboxylic acid amide acetals	[CH1,$([CX4][#6])]([OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])])([OX2][#6&!$([CX3]=[OX1,SX1,NX2,C])])[NX3]([#1,*])[#1,*]	True	0.0	0.0	0.000193798449612	516000.0	0.107843222419
107	Carboxylic acid anhydrides	[#6][#6X3](=[OX1])[#8X2][#6X3](=[OX1])[#6]	True	0.0	0.0	0.0033488372093	516000.0	0.44900478548
108	Carboxylic acid imides	[CX3](=[OX1])[NX3][CX3](=[OX1])	True	0.0	0.0	0.0273546511628	516000.0	1.29901225542
109	Carboxylic acid unsubstituted imides	[CX3](=[OX1])[NX3H1][CX3](=[OX1])	True	0.0	0.0	0.00496511627907	516000.0	0.547168462717
110	Carboxylic acid substituted imides	[CX3](=[OX1])[NX3H0][CX3](=[OX1])	True	0.0	0.0	0.0228042635659	516000.0	1.1832929587
111	CO2 derivative (general)	[$([Cv4X4]([!#1!#6])([!#1!#6])([!#1!#6])[!#1!#6]),$([CX3](=[!#1!#6])([!#1!#6])[!#1!#6]),$([CX2](=[!#1!#6])=[!#1!#6]),$([CX2](#[!#1!#6])[!#1!#6])]	True	2.0	0.0333333333333	0.100354651163	516000.0	1.72772213949
112	Carbonic acid derivatives	[$([CX3](=[OX1])([!#1!#6])[!#1!#6])&!$([CX3](=[OX1])([#7,#16X2,#15,#5])[#8X2,#16X2,#7,#15,#5])]	True	0.0	0.0	0.00378294573643	516000.0	0.477324360188
113	Carbonic acid monoesters	[OH1][CX3](=[OX1])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]	True	0.0	0.0	5.81395348837e-06	516000.0	0.018677238479
114	Carbonic acid diesters	[#6&!$([CX3]=[OX1,SX1,NX2])][OX2][CX3](=[OX1])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]	True	0.0	0.0	0.00259108527132	516000.0	0.394802405052
115	Carbonic acid ester halides	[#6][OX2][CX3](=[OX1])[F,Cl,Br,I]	True	0.0	0.0	0.000300387596899	516000.0	0.1342708858
116	Thiocarbonic acid derivatives	[$([CX3](=[SX1])([!#1!#6])[!#1!#6])&!$([CX3](=[SX1])([#7,#16X2,#15,#5])[#8X2,#16X2,#7,#15,#5]),$([CX3](=[OX1])([!#1!#6])[SX2])&!$([CX3](=[OX1])([#7,#15,#5])[#8X2,#16X2,#7,#15,#5])]	True	0.0	0.0	0.00112596899225	516000.0	0.260065923928
117	Thiocarbonic acid monoesters	[$([OH1,SH1][CX3](=[SX1])[OX2,SX2][#6&!$([CX3]=[OX1,SX1,NX2])]),$([OH1][CX3](=[OX1])[SX2][#6&!$([CX3]=[OX1,SX1,NX2])]),$([SH1][CX3](=[SX1,OX1])[OX2,SX2][#6&!$([CX3]=[OX1,SX1,NX2])])]	True	0.0	0.0	7.7519379845e-06	516000.0	0.0215666382228
118	Thiocarbonic acid diesters	[$([#6&!$([CX3]=[OX1,SX1,NX2])][OX2,SX2][CX3](=[SX1])[OX2,SX2][#6&!$([CX3]=[OX1,SX1,NX2])]),$([#6&!$([CX3]=[OX1,SX1,NX2])][SX2][CX3](=[OX1])[OX2,SX2][#6&!$([CX3]=[OX1,SX1,NX2])])]	True	0.0	0.0	0.00123449612403	516000.0	0.272325739962
119	Thiocarbonic acid ester halides	[$([#6&!$([CX3]=[OX1,SX1,NX2])][OX2,SX2][CX3](=[SX1])[F,Cl,Br,I]),$([#6&!$([CX3]=[OX1,SX1,NX2])][SX2][CX3](=[OX1])[F,Cl,Br,I])]	True	0.0	0.0	6.97674418605e-05	516000.0	0.0647019207428
120	Carbamic acid derivatives	[NX3]([#1,*])([#1,*])[CX3](=[OX1])[!#1!#6!#16!$([Pv5])]	True	0.0	0.0	0.0213488372093	516000.0	1.14405849184
121	Carbamic acid	[OH1][CX3](=[OX1])[NX3]	True	0.0	0.0	2.71317829457e-05	516000.0	0.0403478765343
122	Carbamic acid esters (urethanes)	[#6][OX2][CX3](=[OX1])[NH2,NH1,NX3]	True	0.0	0.0	0.0445949612403	516000.0	1.67349176061
123	Carbamic acid halides	[F,Cl,Br,I][CX3](=[OX1])[NX3]	True	0.0	0.0	0.000230620155039	516000.0	0.117645232826
124	Thiocarbamic acid derivatives	[$([NX3&!$([NX3]([CX3]=[SX1])[CX3]=[OX1,SX1,NX2])][CX3](=[SX1])[!#1!#6!#7!$([Pv5])]),$([NX3&!$([NX3]([CX3]=[OX1])[CX3]=[OX1,SX1,NX2])][CX3](=[OX1])[SH1,SX2])]	True	2.0	0.0333333333333	0.00249418604651	516000.0	-4.78541317781
125	Thiocarbamic acids	[$([OH1,SH1][CX3](=[SX1])[NX3]),$([SH1][CX3](=[OX1])[NX3])]	True	0.0	0.0	8.13953488372e-05	516000.0	0.0698864681361
126	Thiocarbamic acid esters	[$([#6][OX2,SX2][CX3](=[SX1])[NX3&!$([NX3]([CX3]=[OX1,SX1])[CX3]=[OX1,SX1])]),$([#6][SX2][CX3](=[OX1])[NX3&!$([NX3]([CX3]=[OX1,SX1])[CX3]=[OX1,SX1])])]	True	2.0	0.0333333333333	0.00220930232558	516000.0	-5.13031847332
127	Thiocarbamic acid halides	[F,Cl,Br,I][CX3](=[SX1])[NX3]	True	0.0	0.0	2.32558139535e-05	516000.0	0.0373548026921
128	Ureas	[#7&!$([#7]=[#7])&!$([#7][#7H2])&!$([#7][#7H1][#6])&!$([#7][#7]([#1,#6])[#1,#6])&!$([#7][#7]=[#6])][CX3](=[OX1])[#7&!$([#7]=[#7])&!$([#7][#7H2])&!$([#7][#7H1][#6])&!$([#7][#7]([#1,#6])[#1,#6])&!$([#7][#7]=[#6])]	True	0.0	0.0	0.0135096899225	516000.0	0.906466081532
129	Isoureas	[NX3&!$([NX3]([CX3]=[OX1,SX1,NX2])([CX3]=[OX1,SX1,NX2]))]([#1,#6])([#1,#6])[CX3]([OX2])=[NX2][#1,#6]	True	0.0	0.0	0.000201550387597	516000.0	0.109979365415
